,pokedex_number,name,generation,status,species,type_number,type_1,hp,attack,defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
51,38,Alolan Ninetales,1,Normal,Fox Pokémon,2,Ice,73.0,67.0,75.0,109.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
52,39,Jigglypuff,1,Normal,Balloon Pokémon,2,Normal,115.0,45.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
53,40,Wigglytuff,1,Normal,Balloon Pokémon,2,Normal,140.0,70.0,45.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
54,41,Zubat,1,Normal,Bat Pokémon,2,Poison,40.0,45.0,35.0,55.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
55,42,Golbat,1,Normal,Bat Pokémon,2,Poison,75.0,80.0,70.0,90.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
56,43,Oddish,1,Normal,Weed Pokémon,2,Grass,45.0,50.0,55.0,30.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
57,44,Gloom,1,Normal,Weed Pokémon,2,Grass,60.0,65.0,70.0,40.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
58,45,Vileplume,1,Normal,Flower Pokémon,2,Grass,75.0,80.0,85.0,50.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
59,46,Paras,1,Normal,Mushroom Pokémon,2,Bug,35.0,70.0,55.0,25.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
60,47,Parasect,1,Normal,Mushroom Pokémon,2,Bug,60.0,95.0,80.0,30.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
61,48,Venonat,1,Normal,Insect Pokémon,2,Bug,60.0,55.0,50.0,45.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
62,49,Venomoth,1,Normal,Poison Moth Pokémon,2,Bug,70.0,65.0,60.0,90.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
63,50,Diglett,1,Normal,Mole Pokémon,1,Ground,10.0,55.0,25.0,95.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
64,50,Alolan Diglett,1,Normal,Mole Pokémon,2,Ground,10.0,55.0,30.0,90.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
65,51,Dugtrio,1,Normal,Mole Pokémon,1,Ground,35.0,100.0,50.0,120.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
66,51,Alolan Dugtrio,1,Normal,Mole Pokémon,2,Ground,35.0,100.0,60.0,110.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
67,52,Meowth,1,Normal,Scratch Cat Pokémon,1,Normal,40.0,45.0,35.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
68,52,Alolan Meowth,1,Normal,Scratch Cat Pokémon,1,Dark,40.0,35.0,35.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
69,52,Galarian Meowth,1,Normal,Scratch Cat Pokémon,1,Steel,50.0,65.0,55.0,40.0,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
70,53,Persian,1,Normal,Classy Cat Pokémon,1,Normal,65.0,70.0,60.0,115.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
71,53,Alolan Persian,1,Normal,Classy Cat Pokémon,1,Dark,65.0,60.0,60.0,115.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
72,54,Psyduck,1,Normal,Duck Pokémon,1,Water,50.0,52.0,48.0,55.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
73,55,Golduck,1,Normal,Duck Pokémon,1,Water,80.0,82.0,78.0,85.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
74,56,Mankey,1,Normal,Pig Monkey Pokémon,1,Fighting,40.0,80.0,35.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
75,57,Primeape,1,Normal,Pig Monkey Pokémon,1,Fighting,65.0,105.0,60.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
76,58,Growlithe,1,Normal,Puppy Pokémon,1,Fire,55.0,70.0,45.0,60.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
77,59,Arcanine,1,Normal,Legendary Pokémon,1,Fire,90.0,110.0,80.0,95.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
78,60,Poliwag,1,Normal,Tadpole Pokémon,1,Water,40.0,50.0,40.0,90.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
79,61,Poliwhirl,1,Normal,Tadpole Pokémon,1,Water,65.0,65.0,65.0,90.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
80,62,Poliwrath,1,Normal,Tadpole Pokémon,2,Water,90.0,95.0,95.0,70.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
81,63,Abra,1,Normal,Psi Pokémon,1,Psychic,25.0,20.0,15.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
82,64,Kadabra,1,Normal,Psi Pokémon,1,Psychic,40.0,35.0,30.0,105.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
83,65,Alakazam,1,Normal,Psi Pokémon,1,Psychic,55.0,50.0,45.0,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
85,66,Machop,1,Normal,Superpower Pokémon,1,Fighting,70.0,80.0,50.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
86,67,Machoke,1,Normal,Superpower Pokémon,1,Fighting,80.0,100.0,70.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
87,68,Machamp,1,Normal,Superpower Pokémon,1,Fighting,90.0,130.0,80.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
88,69,Bellsprout,1,Normal,Flower Pokémon,2,Grass,50.0,75.0,35.0,40.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
89,70,Weepinbell,1,Normal,Flycatcher Pokémon,2,Grass,65.0,90.0,50.0,55.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
90,71,Victreebel,1,Normal,Flycatcher Pokémon,2,Grass,80.0,105.0,65.0,70.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
91,72,Tentacool,1,Normal,Jellyfish Pokémon,2,Water,40.0,40.0,35.0,70.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
92,73,Tentacruel,1,Normal,Jellyfish Pokémon,2,Water,80.0,70.0,65.0,100.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
93,74,Geodude,1,Normal,Rock Pokémon,2,Rock,40.0,80.0,100.0,20.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
94,74,Alolan Geodude,1,Normal,Rock Pokémon,2,Rock,40.0,80.0,100.0,20.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,75,Graveler,1,Normal,Rock Pokémon,2,Rock,55.0,95.0,115.0,35.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
96,75,Alolan Graveler,1,Normal,Rock Pokémon,2,Rock,55.0,95.0,115.0,35.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,76,Golem,1,Normal,Megaton Pokémon,2,Rock,80.0,120.0,130.0,45.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
98,76,Alolan Golem,1,Normal,Megaton Pokémon,2,Rock,80.0,120.0,130.0,45.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,77,Ponyta,1,Normal,Fire Horse Pokémon,1,Fire,50.0,85.0,55.0,90.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
100,77,Galarian Ponyta,1,Normal,Unique Horn Pokémon,1,Psychic,50.0,85.0,55.0,90.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
101,78,Rapidash,1,Normal,Fire Horse Pokémon,1,Fire,65.0,100.0,70.0,105.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
102,78,Galarian Rapidash,1,Normal,Unique Horn Pokémon,2,Psychic,65.0,100.0,70.0,105.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
103,79,Slowpoke,1,Normal,Dopey Pokémon,2,Water,90.0,65.0,65.0,15.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
104,80,Slowbro,1,Normal,Hermit Crab Pokémon,2,Water,95.0,75.0,110.0,30.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
106,81,Magnemite,1,Normal,Magnet Pokémon,2,Electric,25.0,35.0,70.0,45.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
107,82,Magneton,1,Normal,Magnet Pokémon,2,Electric,50.0,60.0,95.0,70.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
108,83,Farfetch'd,1,Normal,Wild Duck Pokémon,2,Normal,52.0,90.0,55.0,60.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
109,83,Galarian Farfetch'd,1,Normal,Wild Duck Pokémon,1,Fighting,52.0,95.0,55.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
110,84,Doduo,1,Normal,Twin Bird Pokémon,2,Normal,35.0,85.0,45.0,75.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
111,85,Dodrio,1,Normal,Triple Bird Pokémon,2,Normal,60.0,110.0,70.0,110.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
112,86,Seel,1,Normal,Sea Lion Pokémon,1,Water,65.0,45.0,55.0,45.0,1.0,0.25,0.5,2.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
113,87,Dewgong,1,Normal,Sea Lion Pokémon,2,Water,90.0,70.0,80.0,70.0,1.0,0.5,0.5,2.0,2.0,0.125,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
114,88,Grimer,1,Normal,Sludge Pokémon,1,Poison,80.0,80.0,50.0,25.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
115,88,Alolan Grimer,1,Normal,Sludge Pokémon,2,Poison,80.0,80.0,50.0,25.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
116,89,Muk,1,Normal,Sludge Pokémon,1,Poison,105.0,105.0,75.0,50.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
117,89,Alolan Muk,1,Normal,Sludge Pokémon,2,Poison,105.0,105.0,75.0,50.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
118,90,Shellder,1,Normal,Bivalve Pokémon,1,Water,30.0,65.0,100.0,40.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
119,91,Cloyster,1,Normal,Bivalve Pokémon,2,Water,50.0,95.0,180.0,70.0,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
120,92,Gastly,1,Normal,Gas Pokémon,2,Ghost,30.0,35.0,30.0,80.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
